account_id,country,industry,account_age_months,monthly_tpv,tpv_trend_3m_pct,txn_count_monthly,avg_ticket_size,num_products_used,login_freq_monthly,disputes_90d,chargebacks_90d,support_tickets_90d,failed_txn_ratio,churn
SMB_EU_000045,FR,Services,18,8937.5,-3.16,33,270.83,1,9,0,1,1,0.027,0
SMB_EU_000046,IT,Services,8,20342.89,-8.07,90,226.03,1,13,1,0,0,0.177,0
SMB_EU_000047,FR,Retail,21,13201.67,-18.69,162,81.49,3,13,0,0,0,0.052,0
SMB_EU_000048,NL,E-commerce,44,13603.81,2.59,51,266.74,2,8,1,0,2,0.084,0
SMB_EU_000049,IT,Services,17,4135.1,-9.47,49,84.39,2,12,2,0,0,0.12,0
SMB_EU_000050,DE,Subscription,63,7938.99,-6.06,29,273.76,3,10,0,0,0,0.085,0
SMB_EU_000051,UK,E-commerce,24,9503.02,24.83,62,153.27,3,14,1,2,1,0.032,0
SMB_EU_000052,ES,Subscription,16,10471.57,-58.06,45,232.7,2,9,1,1,4,0.055,1
SMB_EU_000053,UK,E-commerce,38,7575.9,11.48,30,252.53,3,10,1,1,2,0.039,0
SMB_EU_000054,UK,E-commerce,22,4827.03,-7.17,34,141.97,2,10,2,0,2,0.042,0
SMB_EU_000055,IT,Services,19,5704.18,-7.91,36,158.45,3,9,0,0,1,0.139,0
SMB_EU_000056,UK,E-commerce,86,15192.32,-16.67,79,192.31,3,11,0,0,2,0.054,0
SMB_EU_000057,DE,E-commerce,17,10647.75,11.31,51,208.78,1,6,0,1,0,0.113,0
SMB_EU_000058,DE,E-commerce,20,6947.85,-55.77,48,144.75,2,3,2,0,0,0.103,1
SMB_EU_000059,DE,Services,39,5949.36,-4.77,20,297.47,3,12,1,1,2,0.085,0
SMB_EU_000060,FR,Services,63,2760.28,-34.59,11,250.93,3,11,1,0,1,0.023,0
SMB_EU_000061,FR,E-commerce,36,13800.21,-2.55,98,140.82,1,12,2,0,1,0.134,0
SMB_EU_000062,FR,E-commerce,28,43251.56,-30.01,196,220.67,1,14,3,0,0,0.097,0
SMB_EU_000063,ES,E-commerce,93,22170.53,-7.36,126,175.96,2,6,1,0,1,0.113,0
SMB_EU_000064,FR,Hospitality,20,2638.68,13.43,10,263.87,1,12,1,1,1,0.156,0
SMB_EU_000065,FR,Retail,20,3723.0,-22.6,24,155.13,1,12,3,0,1,0.098,0
SMB_EU_000066,IT,Services,17,5476.85,-16.35,45,121.71,1,10,2,0,0,0.015,0
SMB_EU_000067,DE,E-commerce,35,6572.26,-51.39,73,90.03,1,7,0,1,1,0.105,1
SMB_EU_000068,ES,E-commerce,13,4513.24,-10.88,15,300.88,2,13,0,0,0,0.05,0
SMB_EU_000069,DE,Retail,10,11010.67,-0.42,69,159.57,3,9,1,0,3,0.098,0
SMB_EU_000070,UK,Retail,20,9698.81,-16.4,75,129.32,1,17,2,1,2,0.1,1
SMB_EU_000071,ES,Subscription,6,11793.91,-29.67,63,187.2,2,12,1,0,0,0.091,0
SMB_EU_000072,DE,E-commerce,32,17564.35,-0.72,122,143.97,2,10,3,0,1,0.019,0
SMB_EU_000073,DE,Retail,35,7692.57,-41.35,59,130.38,3,8,0,0,1,0.026,0
SMB_EU_000074,ES,E-commerce,39,10081.85,18.67,47,214.51,2,10,1,0,0,0.128,0
SMB_EU_000075,ES,E-commerce,47,20444.85,-3.92,212,96.44,1,11,0,0,1,0.053,0
SMB_EU_000076,ES,Retail,21,20032.81,28.32,104,192.62,4,14,1,1,2,0.119,0
SMB_EU_000077,ES,E-commerce,58,11104.08,-26.78,67,165.73,3,7,1,0,0,0.031,0
SMB_EU_000078,DE,E-commerce,54,8130.37,-42.03,41,198.3,2,12,2,1,3,0.181,1
SMB_EU_000079,FR,Hospitality,12,3036.45,28.97,20,151.82,1,12,2,2,1,0.02,0
SMB_EU_000080,DE,E-commerce,25,8917.47,2.09,43,207.38,1,10,1,1,0,0.173,0
SMB_EU_000081,UK,E-commerce,3,16938.84,-20.6,173,97.91,1,6,1,0,1,0.098,0
SMB_EU_000082,IT,Subscription,59,2492.9,1.36,15,166.19,1,10,2,0,0,0.066,0
SMB_EU_000083,FR,E-commerce,46,19522.2,-9.17,148,131.91,1,11,0,1,1,0.083,0
SMB_EU_000084,DE,E-commerce,67,22073.95,-28.38,125,176.59,1,10,1,0,0,0.026,0
SMB_EU_000085,FR,Retail,7,2719.9,29.77,16,169.99,1,10,0,0,0,0.063,0
SMB_EU_000086,FR,E-commerce,37,8335.65,-18.34,38,219.36,3,6,0,1,1,0.084,0
SMB_EU_000087,ES,Services,18,5244.85,4.51,24,218.54,3,11,0,2,1,0.063,0
SMB_EU_000088,IT,Retail,4,7340.15,-13.17,43,170.7,1,13,0,1,0,0.02,0
SMB_EU_000089,UK,Services,51,6829.29,-4.61,57,119.81,4,10,0,1,0,0.059,0
SMB_EU_000090,NL,Retail,10,7350.43,-44.46,35,210.01,3,12,2,2,0,0.107,0
SMB_EU_000091,DE,E-commerce,34,32037.65,4.77,109,293.92,1,9,1,0,3,0.207,0
SMB_EU_000092,ES,Services,18,4123.64,-3.38,34,121.28,1,12,1,1,0,0.061,0
SMB_EU_000093,ES,E-commerce,30,8316.41,-9.75,87,95.59,1,12,0,3,1,0.039,0
SMB_EU_000094,IT,Hospitality,47,3169.88,4.74,23,137.82,3,5,3,0,1,0.075,0
SMB_EU_000095,ES,Retail,30,12437.58,25.62,73,170.38,1,7,2,1,1,0.166,0
SMB_EU_000096,NL,Services,13,5089.66,-13.52,35,145.42,1,4,0,0,0,0.204,0
SMB_EU_000097,NL,Retail,88,11700.96,28.67,44,265.93,2,15,2,0,1,0.076,0
SMB_EU_000098,NL,Services,21,7223.3,17.99,38,190.09,3,8,2,0,0,0.068,0
SMB_EU_000099,DE,Retail,15,2381.03,20.54,18,132.28,1,9,0,0,1,0.167,0
SMB_EU_000100,DE,Services,25,2522.85,-29.92,9,280.32,2,15,2,0,3,0.074,1
SMB_EU_000101,DE,E-commerce,7,8130.93,17.57,76,106.99,1,11,0,0,0,0.07,0
SMB_EU_000102,IT,Services,16,3064.24,-60.11,29,105.66,2,9,1,0,0,0.041,0
SMB_EU_000103,FR,E-commerce,22,11656.19,-63.88,87,133.98,2,11,0,1,1,0.087,1
SMB_EU_000104,NL,Subscription,32,16390.7,11.49,169,96.99,2,9,0,0,0,0.033,0
SMB_EU_000105,UK,Retail,27,16420.51,-15.97,67,245.08,2,7,0,0,1,0.175,0
SMB_EU_000106,FR,Retail,37,6710.73,-2.23,45,149.13,1,10,3,0,1,0.008,0
SMB_EU_000107,FR,E-commerce,26,12900.7,-37.54,54,238.9,1,7,0,0,1,0.044,0
SMB_EU_000108,ES,Retail,54,5239.27,-37.16,21,249.49,1,11,1,0,2,0.193,1
SMB_EU_000109,FR,Retail,41,8439.76,-17.61,64,131.87,1,9,1,0,0,0.043,0
SMB_EU_000110,DE,Subscription,35,10162.83,7.4,52,195.44,1,15,2,0,2,0.115,0
SMB_EU_000111,FR,Subscription,60,14601.29,-2.87,75,194.68,1,11,2,1,2,0.072,0
SMB_EU_000112,DE,E-commerce,60,24218.42,-9.42,89,272.12,2,9,1,0,1,0.035,0
SMB_EU_000113,UK,Subscription,29,2261.33,39.64,26,86.97,1,15,1,1,1,0.058,0
SMB_EU_000114,ES,E-commerce,20,13688.05,15.57,91,150.42,4,9,1,0,1,0.037,0
SMB_EU_000115,IT,E-commerce,31,34415.61,15.84,126,273.14,3,11,0,0,0,0.084,0
SMB_EU_000116,UK,Services,24,3844.21,33.03,29,132.56,1,15,2,0,2,0.23,0
SMB_EU_000117,ES,Hospitality,19,11885.33,12.03,108,110.05,2,7,1,0,2,0.091,0
SMB_EU_000118,DE,Subscription,30,7488.39,-11.56,36,208.01,4,11,0,0,2,0.101,0
SMB_EU_000119,UK,E-commerce,34,16659.89,-69.65,113,147.43,2,10,1,1,1,0.053,1
SMB_EU_000120,NL,Hospitality,40,3033.22,14.47,17,178.42,3,12,0,2,2,0.105,0
SMB_EU_000121,ES,Retail,66,4136.68,-30.89,16,258.54,3,11,2,0,4,0.074,0
SMB_EU_000122,UK,Retail,32,12363.35,-1.17,64,193.18,4,10,2,2,0,0.102,0
SMB_EU_000123,FR,Retail,26,13579.11,-32.57,70,193.99,1,12,0,0,1,0.142,0
SMB_EU_000124,DE,Subscription,50,9143.85,1.48,65,140.67,1,9,2,0,3,0.037,0
SMB_EU_000125,FR,Services,14,2393.9,12.81,9,265.99,1,7,0,0,2,0.002,0
SMB_EU_000126,NL,Services,6,5133.16,4.19,21,244.44,2,7,1,0,3,0.027,0
SMB_EU_000127,ES,E-commerce,37,31893.15,14.07,243,131.25,2,11,2,0,1,0.161,0
SMB_EU_000128,UK,E-commerce,21,42681.69,29.47,284,150.29,1,9,2,0,0,0.119,0
SMB_EU_000129,DE,Retail,22,6615.51,-2.15,26,254.44,1,9,0,1,2,0.137,0
SMB_EU_000130,NL,E-commerce,14,5540.75,42.11,35,158.31,3,7,0,0,0,0.022,0
SMB_EU_000131,FR,E-commerce,57,24835.36,3.19,147,168.95,1,7,0,1,2,0.208,0
SMB_EU_000132,FR,Services,7,4237.02,14.24,26,162.96,2,3,1,1,3,0.042,1
SMB_EU_000133,DE,E-commerce,39,26413.48,-9.17,229,115.34,3,10,1,1,1,0.082,0
SMB_EU_000134,FR,Retail,26,9469.58,24.29,61,155.24,2,12,0,1,2,0.038,0
SMB_EU_000135,UK,Retail,69,4708.53,15.63,18,261.58,1,9,2,0,0,0.057,0
SMB_EU_000136,FR,Retail,50,8284.52,22.07,44,188.28,3,8,0,0,2,0.05,0
SMB_EU_000137,NL,E-commerce,11,32886.2,0.82,182,180.69,1,12,1,1,1,0.153,0
SMB_EU_000138,ES,Subscription,41,8229.56,-18.83,72,114.3,3,7,1,1,2,0.094,0
SMB_EU_000139,FR,Hospitality,36,3224.82,6.91,27,119.44,3,15,0,1,3,0.023,0
SMB_EU_000140,UK,Services,25,1927.55,-25.46,22,87.62,2,9,0,0,1,0.056,0
SMB_EU_000141,UK,E-commerce,39,9438.07,-5.04,114,82.79,2,13,2,0,2,0.159,0
SMB_EU_000142,FR,E-commerce,16,11727.87,2.87,63,186.16,2,14,0,0,2,0.153,0
SMB_EU_000143,NL,Retail,28,13084.67,35.66,77,169.93,3,15,1,0,0,0.102,0
SMB_EU_000144,FR,Services,27,2552.13,4.78,18,141.79,1,8,0,0,3,0.029,0
SMB_EU_000145,FR,Services,14,12701.11,2.09,43,295.37,2,6,0,1,0,0.125,0
SMB_EU_000146,DE,Retail,21,3586.4,-0.95,21,170.78,1,10,0,2,2,0.057,0
SMB_EU_000147,IT,E-commerce,18,60760.62,-20.13,240,253.17,4,15,2,0,1,0.095,0
SMB_EU_000148,NL,E-commerce,34,42239.73,1.29,334,126.47,4,6,0,0,1,0.147,0
SMB_EU_000149,DE,Hospitality,59,6530.34,1.54,49,133.27,3,10,0,0,0,0.176,0
SMB_EU_000150,FR,Subscription,9,3348.82,-14.53,16,209.3,2,11,0,0,2,0.023,0
SMB_EU_000151,UK,Hospitality,35,5803.75,-17.8,72,80.61,1,3,1,0,1,0.04,1
SMB_EU_000152,FR,E-commerce,18,11892.95,-7.22,142,83.75,2,10,0,1,1,0.119,0
SMB_EU_000153,DE,Retail,48,3724.26,-34.55,33,112.86,3,17,1,0,0,0.116,0
SMB_EU_000154,NL,Retail,35,9526.21,-6.86,74,128.73,2,12,2,1,1,0.03,0
SMB_EU_000155,UK,Retail,7,4880.54,-64.02,25,195.22,2,11,0,2,1,0.137,1
SMB_EU_000156,FR,Retail,30,5209.57,-21.26,23,226.5,3,8,0,0,2,0.143,0
SMB_EU_000157,IT,Services,24,4424.83,8.08,30,147.49,1,10,1,0,2,0.04,0
SMB_EU_000158,ES,Services,10,3541.3,1.82,27,131.16,3,7,1,0,0,0.045,1
SMB_EU_000159,FR,Retail,18,27836.15,-8.44,107,260.15,2,9,0,0,2,0.057,0
SMB_EU_000160,ES,Services,29,3625.56,8.92,31,116.95,1,14,2,1,2,0.104,0
SMB_EU_000161,FR,Retail,18,10422.53,-2.86,45,231.61,3,8,0,0,1,0.131,0
SMB_EU_000162,IT,E-commerce,52,16368.58,-17.84,57,287.17,4,8,1,0,1,0.09,0
SMB_EU_000163,IT,Retail,24,9885.72,15.54,75,131.81,2,7,2,1,2,0.09,0
SMB_EU_000164,NL,E-commerce,17,19404.47,5.3,196,99.0,2,14,0,0,0,0.006,0
SMB_EU_000165,DE,E-commerce,30,25453.85,-1.79,86,295.98,3,15,1,2,2,0.083,0
SMB_EU_000166,ES,E-commerce,33,17600.33,-23.57,126,139.69,4,10,1,0,0,0.135,0
SMB_EU_000167,FR,E-commerce,48,17166.98,-11.17,122,140.71,4,8,0,1,0,0.037,0
SMB_EU_000168,DE,Subscription,27,9321.38,-16.86,50,186.43,1,8,2,1,3,0.103,0
SMB_EU_000169,DE,Retail,32,7362.44,-45.55,56,131.47,2,10,0,0,1,0.1,0
SMB_EU_000170,IT,Retail,21,4629.1,-52.46,16,289.32,3,10,0,0,2,0.101,1
SMB_EU_000171,IT,Retail,70,7713.1,-0.25,86,89.69,2,7,2,0,0,0.089,0
SMB_EU_000172,DE,Hospitality,35,6934.58,4.81,39,177.81,2,10,0,0,4,0.103,0
SMB_EU_000173,NL,Retail,29,10183.21,-22.46,51,199.67,2,11,0,0,0,0.133,1
SMB_EU_000174,FR,Services,18,5571.19,2.61,30,185.71,2,10,0,0,2,0.073,0
SMB_EU_000175,IT,E-commerce,52,13043.33,-25.29,67,194.68,1,14,1,0,1,0.051,0
SMB_EU_000176,DE,E-commerce,6,14494.98,1.46,49,295.82,1,5,2,0,1,0.22,0
SMB_EU_000177,IT,Hospitality,30,4304.12,-9.79,16,269.01,2,7,0,0,1,0.062,0
SMB_EU_000178,FR,Retail,16,9654.03,-12.99,65,148.52,2,7,1,1,0,0.08,1
SMB_EU_000179,UK,Retail,45,7005.98,12.52,35,200.17,4,10,0,0,1,0.025,0
SMB_EU_000180,DE,E-commerce,33,16716.34,-3.53,209,79.98,1,7,1,0,0,0.069,0
SMB_EU_000181,FR,Hospitality,30,10937.98,7.11,64,170.91,1,12,0,0,2,0.041,0
SMB_EU_000182,DE,Retail,12,5226.94,7.6,45,116.15,4,12,2,0,1,0.078,0
SMB_EU_000183,UK,Retail,25,11443.92,19.05,48,238.42,2,12,0,0,1,0.052,0
SMB_EU_000184,UK,Subscription,34,9181.13,-51.08,71,129.31,1,11,1,1,0,0.059,0
SMB_EU_000185,FR,Retail,48,26900.85,-24.85,110,244.55,3,14,0,0,1,0.217,0
SMB_EU_000186,IT,Services,37,4391.44,-26.4,29,151.43,3,6,0,0,0,0.054,1
SMB_EU_000187,ES,Services,45,7587.76,-5.67,27,281.03,2,10,2,0,1,0.045,0
SMB_EU_000188,IT,E-commerce,8,15138.82,-17.24,85,178.1,4,13,0,1,2,0.061,0
SMB_EU_000189,NL,Retail,29,3478.0,9.1,13,267.54,1,5,0,0,2,0.091,0
SMB_EU_000190,FR,Retail,50,5853.43,-13.83,27,216.79,2,9,2,0,1,0.036,0
SMB_EU_000191,DE,Hospitality,3,10176.1,7.77,34,299.3,3,5,0,0,2,0.053,0
SMB_EU_000192,UK,Hospitality,22,4628.08,-16.2,19,243.58,2,8,0,0,1,0.17,0
SMB_EU_000193,UK,Services,34,1319.54,14.7,5,263.91,4,9,0,2,2,0.062,0
SMB_EU_000194,IT,Subscription,54,8832.01,20.87,64,138.0,1,9,0,0,2,0.027,0
SMB_EU_000195,FR,Hospitality,28,3115.4,-10.79,16,194.71,1,7,1,0,0,0.142,0
SMB_EU_000196,FR,Retail,26,8658.42,11.44,60,144.31,2,11,1,0,2,0.204,0
SMB_EU_000197,ES,Retail,32,20290.03,-50.67,241,84.19,3,8,1,0,3,0.134,0
SMB_EU_000198,UK,Services,34,7933.64,-38.84,34,233.34,1,6,0,1,1,0.117,0
SMB_EU_000199,UK,Retail,14,20114.38,26.12,153,131.47,1,8,0,2,0,0.129,0
SMB_EU_000200,ES,Retail,18,5711.8,-9.12,34,167.99,4,6,1,1,3,0.119,0
SMB_EU_000201,IT,Services,5,4588.43,16.67,32,143.39,4,19,2,0,2,0.038,0
SMB_EU_000202,DE,E-commerce,16,8015.59,15.23,65,123.32,1,7,1,1,1,0.183,0
SMB_EU_000203,DE,Subscription,11,5970.31,16.12,63,94.77,2,12,0,0,1,0.004,0
SMB_EU_000204,UK,Hospitality,13,3440.54,-19.01,22,156.39,2,13,0,0,1,0.079,0
SMB_EU_000205,IT,Retail,93,3652.49,7.88,37,98.72,3,8,0,2,0,0.058,0
SMB_EU_000206,DE,Subscription,52,20424.57,-2.35,103,198.3,2,15,3,2,0,0.167,0
SMB_EU_000207,DE,E-commerce,11,4275.38,16.33,51,83.83,3,22,1,0,1,0.479,0
SMB_EU_000208,IT,E-commerce,9,34128.52,-70.91,119,286.79,4,12,1,0,1,0.119,1
SMB_EU_000209,DE,E-commerce,17,31680.0,5.52,108,293.33,2,16,1,0,1,0.044,0
SMB_EU_000210,DE,Retail,9,10797.53,3.4,73,147.91,1,8,1,0,1,0.111,0
SMB_EU_000211,IT,E-commerce,32,7685.58,-29.85,56,137.24,2,21,0,1,2,0.067,0
SMB_EU_000212,IT,Retail,31,3096.08,-13.28,30,103.2,3,11,4,1,1,0.081,0
SMB_EU_000213,IT,E-commerce,13,10794.19,-27.45,39,276.77,2,12,0,0,0,0.192,0
SMB_EU_000214,FR,E-commerce,42,21826.45,-38.05,104,209.87,4,13,0,0,2,0.026,0
SMB_EU_000215,ES,Services,42,5009.2,8.24,23,217.79,4,6,0,1,0,0.02,0
SMB_EU_000216,FR,Services,16,2673.37,2.93,10,267.34,2,9,1,0,2,0.076,0
SMB_EU_000217,FR,Retail,13,15932.55,2.54,57,279.52,2,10,0,1,2,0.077,0
SMB_EU_000218,ES,E-commerce,19,41209.97,-69.68,157,262.48,3,6,1,1,1,0.13,1
SMB_EU_000219,IT,E-commerce,38,13093.17,16.81,52,251.79,1,9,1,1,3,0.183,0
SMB_EU_000220,UK,Retail,88,8542.41,-0.28,31,275.56,2,16,4,0,0,0.069,0
SMB_EU_000221,IT,Services,38,2022.08,0.51,7,288.87,1,13,0,0,2,0.069,0
SMB_EU_000222,IT,Services,11,3899.33,14.11,24,162.47,3,14,2,1,1,0.027,0
SMB_EU_000223,DE,Retail,33,10866.73,-14.87,37,293.7,4,10,1,0,2,0.081,0
SMB_EU_000224,FR,E-commerce,28,18559.17,-46.14,79,234.93,1,4,1,0,2,0.103,1
SMB_EU_000225,FR,Retail,27,5899.34,6.35,37,159.44,3,9,3,1,1,0.05,0
SMB_EU_000226,FR,Hospitality,9,5089.67,-8.18,29,175.51,2,6,1,0,0,0.026,0
SMB_EU_000227,UK,Retail,33,6117.26,9.79,26,235.28,3,7,0,0,0,0.274,0
SMB_EU_000228,FR,Subscription,26,7615.2,7.16,48,158.65,3,15,3,2,1,0.206,0
SMB_EU_000229,UK,Services,10,6445.48,-1.52,25,257.82,1,7,0,0,0,0.059,0
SMB_EU_000230,IT,E-commerce,74,4606.77,-1.98,41,112.36,1,9,0,0,3,0.058,0
SMB_EU_000231,ES,Hospitality,9,5738.22,7.85,21,273.25,1,8,1,1,0,0.114,0
SMB_EU_000232,NL,Subscription,36,11102.94,11.83,76,146.09,4,9,0,1,0,0.021,0
SMB_EU_000233,IT,Hospitality,24,4260.85,0.94,38,112.13,2,8,0,0,3,0.044,0
SMB_EU_000234,NL,Retail,20,6000.49,16.8,22,272.75,4,8,1,0,1,0.081,0
SMB_EU_000235,DE,E-commerce,58,11447.98,9.88,86,133.12,2,16,1,0,1,0.08,0
SMB_EU_000236,ES,Services,48,3750.95,-26.83,14,267.92,2,11,2,0,2,0.111,0
SMB_EU_000237,FR,Hospitality,24,6021.22,-21.07,41,146.86,3,12,0,1,0,0.147,0
SMB_EU_000238,DE,Hospitality,14,6482.86,17.73,23,281.86,3,9,1,0,1,0.036,0
SMB_EU_000239,IT,Services,19,1417.83,-3.7,11,128.89,1,12,1,0,0,0.125,0
SMB_EU_000240,DE,Services,21,7397.68,2.46,78,94.84,1,8,0,0,3,0.077,1
SMB_EU_000241,UK,Subscription,48,7562.68,17.09,26,290.87,1,9,1,0,1,0.145,0
SMB_EU_000242,UK,Retail,34,25513.8,-0.1,219,116.5,3,12,0,0,1,0.101,0
SMB_EU_000243,UK,E-commerce,49,7337.96,0.56,26,282.23,3,9,0,0,2,0.07,0
SMB_EU_000244,FR,Services,9,2971.45,-13.03,11,270.13,1,10,1,0,2,0.085,0
SMB_EU_000245,DE,Services,52,4426.87,5.55,45,98.37,1,10,0,0,2,0.022,0
SMB_EU_000246,UK,Hospitality,64,7688.26,8.8,43,178.8,2,12,0,0,2,0.1,0
SMB_EU_000247,NL,Retail,15,2481.79,-51.78,26,95.45,2,19,0,0,1,0.148,0
SMB_EU_000248,UK,Services,45,3040.37,-13.83,20,152.02,2,14,0,1,0,0.055,0
SMB_EU_000249,UK,Services,60,7129.42,39.39,45,158.43,4,11,0,2,1,0.066,0
SMB_EU_000250,UK,Retail,17,4529.3,-1.39,21,215.68,3,18,1,1,2,0.134,0
SMB_EU_000251,FR,E-commerce,11,34126.22,-35.39,116,294.19,1,10,0,1,1,0.042,1
SMB_EU_000252,FR,Retail,31,6092.82,10.6,52,117.17,1,11,2,0,0,0.035,0
SMB_EU_000253,UK,E-commerce,5,8744.51,-0.76,57,153.41,1,13,1,2,1,0.037,0
SMB_EU_000254,FR,Retail,52,11537.33,-16.29,55,209.77,1,9,0,0,3,0.024,0
SMB_EU_000255,DE,E-commerce,13,39354.91,7.25,334,117.83,3,10,2,1,1,0.039,0
SMB_EU_000256,IT,E-commerce,22,19257.26,-60.28,81,237.74,2,10,1,2,2,0.059,1
SMB_EU_000257,UK,Hospitality,42,12781.73,23.65,76,168.18,2,10,2,0,2,0.152,0
SMB_EU_000258,IT,Hospitality,38,16407.53,7.42,57,287.85,2,15,2,0,0,0.081,0
SMB_EU_000259,IT,Services,41,2875.78,-4.15,13,221.21,1,9,0,0,1,0.121,0
SMB_EU_000260,DE,Retail,15,14047.95,1.64,88,159.64,1,12,1,0,1,0.144,0
SMB_EU_000261,IT,Retail,33,3207.07,13.55,13,246.7,3,7,1,1,0,0.018,0
SMB_EU_000262,UK,Services,46,6451.93,2.79,24,268.83,3,10,1,0,2,0.081,0
SMB_EU_000263,DE,Retail,17,7664.89,31.83,30,255.5,1,9,1,0,0,0.074,0
SMB_EU_000264,NL,Subscription,78,18972.58,17.04,138,137.48,2,8,1,0,1,0.075,0
SMB_EU_000265,UK,Services,23,10102.56,7.31,59,171.23,2,9,1,0,3,0.032,0
SMB_EU_000266,ES,E-commerce,5,21113.66,-34.78,118,178.93,3,7,0,1,2,0.142,1
SMB_EU_000267,IT,Subscription,23,10764.8,-54.38,65,165.61,3,9,1,1,0,0.081,0
SMB_EU_000268,ES,Retail,60,10853.23,-24.97,73,148.67,4,6,1,1,3,0.146,0
SMB_EU_000269,FR,E-commerce,13,15566.37,-12.34,63,247.09,1,10,0,2,3,0.016,0
